ID,cluster,cluster.name,hex
48450,1,6,#EEDC82
48454,5,3,#EE7600
48467,1,6,#EEDC82
48468,1,6,#EEDC82
48471,1,6,#EEDC82
48472,1,6,#EEDC82
48565,18,14,#9F79EE
48795,7,18,#FF6A6A
48814,1,6,#EEDC82
48816,5,3,#EE7600
48817,5,3,#EE7600
48818,5,3,#EE7600
48828,1,6,#EEDC82
48831,1,6,#EEDC82
48832,1,6,#EEDC82
48833,1,6,#EEDC82
48922,18,14,#9F79EE
49172,1,6,#EEDC82
49175,1,6,#EEDC82
49176,1,6,#EEDC82
49177,1,6,#EEDC82
49178,1,6,#EEDC82
49179,1,6,#EEDC82
49200,1,6,#EEDC82
49201,1,6,#EEDC82
49282,18,14,#9F79EE
49441,18,14,#9F79EE
49538,1,6,#EEDC82
49539,1,6,#EEDC82
49793,18,14,#9F79EE
50152,7,18,#FF6A6A
50214,6,12,#6959CD
50218,7,18,#FF6A6A
50524,7,18,#FF6A6A
50723,18,14,#9F79EE
50764,7,18,#FF6A6A
51442,7,18,#FF6A6A
51672,7,18,#FF6A6A
51857,7,18,#FF6A6A
51858,7,18,#FF6A6A
51941,1,6,#EEDC82
52034,1,6,#EEDC82
52039,2,13,#EEAEEE
52218,10,11,#4876FF
52219,7,18,#FF6A6A
52221,7,18,#FF6A6A
52225,7,18,#FF6A6A
52375,7,18,#FF6A6A
52376,7,18,#FF6A6A
52394,1,6,#EEDC82
52401,7,18,#FF6A6A
52402,1,6,#EEDC82
52733,7,18,#FF6A6A
52736,7,18,#FF6A6A
52738,7,18,#FF6A6A
52944,7,18,#FF6A6A
53120,7,18,#FF6A6A
53298,7,18,#FF6A6A
53455,7,18,#FF6A6A
53458,7,18,#FF6A6A
53468,6,12,#6959CD
53469,6,12,#6959CD
53470,6,12,#6959CD
53471,7,18,#FF6A6A
53480,7,18,#FF6A6A
53482,1,6,#EEDC82
53484,7,18,#FF6A6A
53817,7,18,#FF6A6A
53818,7,18,#FF6A6A
53830,7,18,#FF6A6A
53831,6,12,#6959CD
53832,6,12,#6959CD
53841,7,18,#FF6A6A
53842,7,18,#FF6A6A
53843,7,18,#FF6A6A
53845,7,18,#FF6A6A
53846,7,18,#FF6A6A
54138,7,18,#FF6A6A
54179,7,18,#FF6A6A
54186,7,18,#FF6A6A
54209,7,18,#FF6A6A
54906,7,18,#FF6A6A
54907,7,18,#FF6A6A
55208,7,18,#FF6A6A
55220,7,18,#FF6A6A
55238,18,14,#9F79EE
55270,7,18,#FF6A6A
55297,7,18,#FF6A6A
55460,1,6,#EEDC82
55655,7,18,#FF6A6A
55659,7,18,#FF6A6A
55660,7,18,#FF6A6A
55958,18,14,#9F79EE
55966,7,18,#FF6A6A
55992,7,18,#FF6A6A
55993,7,18,#FF6A6A
56015,7,18,#FF6A6A
56016,7,18,#FF6A6A
56317,18,14,#9F79EE
56324,7,18,#FF6A6A
56353,7,18,#FF6A6A
56354,7,18,#FF6A6A
56373,7,18,#FF6A6A
56374,7,18,#FF6A6A
56713,7,18,#FF6A6A
56715,7,18,#FF6A6A
56716,6,12,#6959CD
56733,18,14,#9F79EE
56747,7,18,#FF6A6A
57074,7,18,#FF6A6A
57075,7,18,#FF6A6A
57076,7,18,#FF6A6A
57077,7,18,#FF6A6A
57078,7,18,#FF6A6A
57436,7,18,#FF6A6A
57437,18,14,#9F79EE
57438,7,18,#FF6A6A
57450,7,18,#FF6A6A
20455,4,8,#43CD80
20463,4,8,#43CD80
20465,11,2,#CD2626
20476,4,8,#43CD80
20825,11,2,#CD2626
20828,1,6,#EEDC82
20829,16,10,#6CA6CD
21189,11,2,#CD2626
21536,5,3,#EE7600
22615,4,8,#43CD80
22894,11,2,#CD2626
23267,14,4,#EEC900
23268,14,4,#EEC900
23333,11,2,#CD2626
23628,3,5,#EEAD0E
24486,4,8,#43CD80
24845,4,8,#43CD80
24846,5,3,#EE7600
25206,4,8,#43CD80
25558,1,6,#EEDC82
26987,3,5,#EEAD0E
27008,16,10,#6CA6CD
27347,1,6,#EEDC82
27348,1,6,#EEDC82
27586,16,10,#6CA6CD
27664,16,10,#6CA6CD
27665,16,10,#6CA6CD
27997,1,6,#EEDC82
28420,4,8,#43CD80
28421,4,8,#43CD80
28681,16,10,#6CA6CD
28726,3,5,#EEAD0E
28742,3,5,#EEAD0E
28757,8,1,#FF3030
29041,16,10,#6CA6CD
29042,16,10,#6CA6CD
30193,3,5,#EEAD0E
31650,4,8,#43CD80
32035,2,13,#EEAEEE
32353,5,3,#EE7600
32753,2,13,#EEAEEE
32754,2,13,#EEAEEE
33114,2,13,#EEAEEE
33734,14,4,#EEC900
34094,14,4,#EEC900
35087,14,4,#EEC900
35219,3,5,#EEAD0E
35226,3,5,#EEAD0E
35253,12,7,#98FB98
35271,16,10,#6CA6CD
35272,7,18,#FF6A6A
35538,18,14,#9F79EE
35581,7,18,#FF6A6A
35921,18,14,#9F79EE
35942,5,3,#EE7600
36164,8,1,#FF3030
36946,7,18,#FF6A6A
37307,7,18,#FF6A6A
37358,7,18,#FF6A6A
37603,7,18,#FF6A6A
38092,7,18,#FF6A6A
38256,1,6,#EEDC82
38278,1,6,#EEDC82
38452,16,10,#6CA6CD
38998,1,6,#EEDC82
39101,7,18,#FF6A6A
39462,6,12,#6959CD
39513,18,14,#9F79EE
39532,18,14,#9F79EE
40179,18,14,#9F79EE
40255,16,10,#6CA6CD
40261,2,13,#EEAEEE
40341,6,12,#6959CD
